# BGG ranked games, from beefsack/bgg-ranking-historicals 2026-09-01.csv
# bgg_id	name	year	rank
224517	Brass: Birmingham	2018	1
342942	Ark Nova	2021	2
161936	Pandemic Legacy: Season 1	2015	3
174430	Gloomhaven	2017	4
397598	Dune: Imperium – Uprising	2023	5
316554	Dune: Imperium	2020	6
233078	Twilight Imperium: Fourth Edition	2017	7
115746	War of the Ring: Second Edition	2011	8
167791	Terraforming Mars	2016	9
187645	Star Wars: Rebellion	2016	10
162886	Spirit Island	2017	11
291457	Gloomhaven: Jaws of the Lion	2020	12
220308	Gaia Project	2017	13
418059	SETI: Search for Extraterrestrial Intelligence	2024	14
338960	Slay the Spire: The Board Game	2024	15
12333	Twilight Struggle	2005	16
84876	The Castles of Burgundy	2011	17
182028	Through the Ages: A New Story of Civilization	2015	18
421006	The Lord of the Rings: Duel for Middle-earth	2024	19
295770	Frosthaven	2022	20
193738	Great Western Trail	2016	21
28720	Brass: Lancashire	2007	22
246900	Eclipse: Second Dawn for the Galaxy	2020	23
173346	7 Wonders Duel	2015	24
167355	Nemesis	2018	25
169786	Scythe	2016	26
177736	A Feast for Odin	2016	27
266507	Clank! Legacy: Acquisitions Incorporated	2019	28
124361	Concordia	2013	29
312484	Lost Ruins of Arnak	2020	30
341169	Great Western Trail: Second Edition	2021	31
373106	Sky Team	2023	32
205637	Arkham Horror: The Card Game	2016	33
237182	Root	2018	34
164928	Orléans	2014	35
120677	Terra Mystica	2012	36
192135	Too Many Bones	2017	37
266192	Wingspan	2019	38
96848	Mage Knight Board Game	2011	39
251247	Barrage	2019	40
321608	Hegemony: Lead Your Class to Victory	2023	41
284378	Kanban EV	2020	42
183394	Viticulture Essential Edition	2015	43
324856	The Crew: Mission Deep Sea	2021	44
521	Crokinole	1876	45
199792	Everdell	2018	46
366013	Heat: Pedal to the Metal	2022	47
365717	Clank!: Catacombs	2022	48
285774	Marvel Champions: The Card Game	2019	49
390092	Ticket to Ride Legacy: Legends of the West	2023	50
175914	Food Chain Magnate	2015	51
247763	Underwater Cities	2018	52
414317	Harmonies	2024	53
253344	Cthulhu: Death May Die	2019	54
256960	Pax Pamir: Second Edition	2019	55
383179	Age of Innovation	2023	56
3076	Puerto Rico	2002	57
184267	On Mars	2020	58
436217	The Lord of the Rings: Fate of the Fellowship	2025	59
314040	Pandemic Legacy: Season 0	2020	60
295947	Cascadia	2021	61
185343	Anachrony	2017	62
102794	Caverna: The Cave Farmers	2013	63
251661	Oathsworn: Into the Deepwood	2022	64
240980	Blood on the Clocktower	2022	65
31260	Agricola	2007	66
170216	Blood Rage	2015	67
231733	Obsession	2018	68
182874	Grand Austria Hotel	2015	69
161533	Lisboa	2017	70
367966	Endeavor: Deep Sea	2024	71
371942	The White Castle	2023	72
380607	Great Western Trail: New Zealand	2023	73
221107	Pandemic Legacy: Season 2	2017	74
255984	Sleeping Gods	2021	75
126163	Tzolk'in: The Mayan Calendar	2012	76
2651	Power Grid	2004	77
216132	Clans of Caledonia	2017	78
205059	Mansions of Madness: Second Edition	2016	79
337627	Voidfall	2023	80
244521	Quacks	2018	81
266810	Paladins of the West Kingdom	2019	82
35677	Le Havre	2008	83
124742	Android: Netrunner	2012	84
125153	The Gallerist	2015	85
200680	Agricola (Revised Edition)	2016	86
413246	Bomb Busters	2024	87
164153	Star Wars: Imperial Assault	2014	88
366161	Wingspan Asia	2022	89
322289	Darwin's Journey	2023	90
276025	Maracaibo	2019	91
332772	Revive	2022	92
209010	Mechs vs. Minions	2016	93
28143	Race for the Galaxy	2007	94
55690	Kingdom Death: Monster	2015	95
284083	The Crew: The Quest for Planet Nine	2019	96
277659	Final Girl	2021	97
157354	Five Tribes: The Djinns of Naqala	2014	98
230802	Azul	2017	99
93	El Grande	1995	100
359871	Arcs	2024	101
159675	Fields of Arle	2014	102
201808	Clank!: A Deck-Building Adventure	2016	103
256916	Concordia Venus	2018	104
359609	Arkham Horror: The Card Game (Revised Core Set)	2021	105
72125	Eclipse: New Dawn for the Galaxy	2011	106
110327	Lords of Waterdeep	2012	107
391137	Galactic Cruise	2025	108
191189	Aeon's End	2016	109
291453	SCOUT	2019	110
364073	Splendor Duel	2022	111
229853	Teotihuacan: City of Gods	2018	112
12	Ra	1999	113
317985	Beyond the Sun	2020	114
62219	Dominant Species	2010	115
279537	The Search for Planet X	2020	116
225694	Decrypto	2018	117
68448	7 Wonders	2010	118
25613	Through the Ages: A Story of Civilization	2006	119
121921	Robinson Crusoe: Adventures on the Cursed Island	2012	120
217372	The Quest for El Dorado	2017	121
171623	The Voyages of Marco Polo	2015	122
163068	Trickerion: Legends of Illusion	2015	123
410201	Wyrmspan	2024	124
155821	Inis	2016	125
37111	Battlestar Galactica: The Board Game	2008	126
310873	Carnegie	2022	127
271055	Dwellings of Eldervale	2020	128
310100	Nemesis: Lockdown	2022	129
429293	The Lord of the Rings: The Fellowship of the Ring – Trick-Taking Game	2025	130
396790	Nucleum	2023	131
236457	Architects of the West Kingdom	2018	132
42	Tigris & Euphrates	1997	133
227935	Wonderland's War	2022	134
40834	Dominion: Intrigue	2009	135
122515	Keyflower	2012	136
170042	Raiders of the North Sea	2015	137
4098	Age of Steam	2002	138
264220	Tainted Grail: The Fall of Avalon	2019	139
146021	Eldritch Horror	2013	140
18602	Caylus	2005	141
73439	Troyes	2010	142
203993	Lorenzo il Magnifico	2016	143
269385	The Lord of the Rings: Journeys in Middle-Earth	2019	144
172386	Mombasa	2015	145
36218	Dominion	2008	146
43015	Hansa Teutonica	2009	147
163412	Patchwork	2014	148
356080	The Elder Scrolls: Betrayal of the Second Era	2025	149
102680	Trajan	2011	150
391163	Forest Shuffle	2023	151
218417	Aeon's End: War Eternal	2017	152
144733	Russian Railroads	2013	153
12493	Twilight Imperium: Third Edition	2005	154
205896	Rising Sun	2018	155
175640	Vinhos: Deluxe Edition	2016	156
196340	Yokohama	2016	157
175155	Forbidden Stars	2015	158
254640	Just One	2018	159
400602	Civolution	2024	160
325494	ISS Vanguard	2022	161
198928	Iberia	2016	162
178900	Codenames	2015	163
233371	Clank! In! Space!: A Deck-Building Adventure	2017	164
358661	Andromeda's Edge	2024	165
189932	Tyrants of the Underdark	2016	166
235802	Too Many Bones: Undertow	2018	167
258779	Planet Unknown	2022	168
220877	Rajas of the Ganges	2017	169
172287	Champions of Midgard	2015	170
463	Magic: The Gathering	1993	171
180263	The 7th Continent	2017	172
304783	Hadrian's Wall	2021	173
30549	Pandemic	2008	174
132531	Roll for the Galaxy	2014	175
209418	Dominion: Second Edition	2016	176
118048	Targi	2012	177
147020	Star Realms	2014	178
161970	Alchemists	2014	179
14996	Ticket to Ride: Europe	2005	180
266524	Parks	2019	181
249259	War Chest	2018	182
268864	Undaunted: Normandy	2019	183
263918	Cartographers	2019	184
262712	Res Arcana	2019	185
420033	Vantage	2025	186
77423	The Lord of the Rings: The Card Game	2011	187
271324	It's a Wonderful World	2019	188
34635	Stone Age	2008	189
274364	Watergate	2019	190
271896	Star Wars: Outer Rim	2019	191
294484	Unmatched: Cobble & Fog	2020	192
148949	Istanbul	2014	193
328871	Terraforming Mars: Ares Expedition	2021	194
308765	Praga Caput Regni	2020	195
316377	7 Wonders (Second Edition)	2020	196
296151	Viscounts of the West Kingdom	2020	197
82222	Xia: Legends of a Drift System	2014	198
364011	Great Western Trail: Argentina	2022	199
146652	Legendary Encounters: An Alien Deck Building Game	2014	200
54043	Jaipur	2009	201
265188	Glen More II: Chronicles	2019	202
244522	That's Pretty Clever!	2018	203
127023	Kemet	2012	204
103885	Star Wars: X-Wing Miniatures Game	2012	205
283948	Marco Polo II: In the Service of the Khan	2019	206
281259	The Isle of Cats	2019	207
2511	Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases	1981	208
400366	Wondrous Creatures	2024	209
233398	Endeavor: Age of Sail	2018	210
416851	Castle Combo	2024	211
350184	Earth	2023	212
339789	Welcome to the Moon	2021	213
329082	Radlands	2021	214
283355	Dune	2019	215
332686	John Company: Second Edition	2022	216
233867	Welcome To...	2018	217
374173	Star Wars: The Deckbuilding Game	2023	218
375459	Speakeasy	2025	219
314491	Meadow	2021	220
43111	Chaos in the Old World	2009	221
188920	This War of Mine: The Board Game	2017	222
118	Modern Art	1992	223
342070	Thunder Road: Vendetta	2023	224
9609	War of the Ring	2004	225
10630	Memoir '44	2004	226
227224	The Red Cathedral	2020	227
199561	Sagrada	2017	228
242302	Space Base	2018	229
256680	Return to Dark Tower	2022	230
299659	Clash of Cultures: Monumental Edition	2021	231
104162	Descent: Journeys in the Dark (Second Edition)	2012	232
39463	Cosmic Encounter	2008	233
367150	Dune: War for Arrakis	2024	234
25021	Sekigahara: The Unification of Japan	2011	235
300531	Paleo	2020	236
155426	Castles of Mad King Ludwig	2014	237
188	Go	2200	238
128882	The Resistance: Avalon	2012	239
822	Carcassonne	2000	240
103343	A Game of Thrones: The Board Game (Second Edition)	2011	241
31627	Ticket to Ride: Nordic Countries	2007	242
148228	Splendor	2014	243
17133	Railways of the World	2005	244
287954	Azul: Summer Pavilion	2019	245
282524	Horrified	2019	246
70149	Ora et Labora	2011	247
171131	Captain Sonar	2016	248
104006	Village	2011	249
269207	The Taverns of Tiefenthal	2019	250
215	Tichu	1991	251
123260	Suburbia	2012	252
367220	Sea Salt & Paper	2022	253
381248	Nemesis: Retaliation	2025	254
385761	Faraway	2023	255
14105	Commands & Colors: Ancients	2006	256
150376	Dead of Winter: A Crossroads Game	2014	257
285967	Ankh: Gods of Egypt	2021	258
241451	Aeon's End: Legacy	2019	259
293014	Nidavellir	2020	260
7854	YINSH	2003	261
165722	KLASK	2014	262
9209	Ticket to Ride	2004	263
91	Paths of Glory	1999	264
329839	So Clover!	2021	265
245638	Coimbra	2018	266
182631	Star Realms: Colony Wars	2015	267
306735	Under Falling Skies	2020	268
188834	Secret Hitler	2016	269
260605	Camel Up (Second Edition)	2018	270
295486	My City	2020	271
54998	Cyclades	2009	272
223040	Fantasy Realms	2017	273
126042	Nations	2013	274
283155	Calico	2020	275
224037	Codenames: Duet	2017	276
295895	Distilled	2023	277
232832	Century: Golem Edition	2017	278
146886	La Granja	2014	279
351913	Tiletum	2022	280
21050	Combat Commander: Europe	2006	281
195421	Near and Far	2017	282
129437	Legendary: A Marvel Deck Building Game	2012	283
3	Samurai	1998	284
158600	Hanamikoji	2013	285
221194	Dinosaur Island	2017	286
150145	Skull King	2013	287
434654	Toy Battle	2025	288
192291	Sushi Go Party!	2016	289
232405	Western Legends	2018	290
176189	Zombicide: Black Plague	2015	291
199478	Flamme Rouge	2016	292
274637	Unmatched: Battle of Legends, Volume One	2019	293
156129	Deception: Murder in Hong Kong	2014	294
19857	Glory to Rome	2005	295
176494	Isle of Skye: From Chieftain to King	2015	296
318977	MicroMacro: Crime City	2020	297
284189	Foundations of Rome	2022	298
311193	Anno 1800: The Board Game	2020	299
329500	Unconscious Mind	2024	300
446497	Hot Streak	2025	301
270633	Aeon's End: The New Age	2019	302
19777	Indonesia	2005	303
286096	Tapestry	2019	304
156546	Monikers	2015	305
169426	Roll Player	2016	306
224783	Vindication	2018	307
300322	Hallertau	2020	308
323612	Bitoku	2021	309
555	The Princes of Florence	2000	310
198994	Hero Realms	2016	311
297562	Kemet: Blood and Sand	2021	312
277085	Love Letter	2019	313
228341	Pulsar 2849	2017	314
